,ru-ru,en,,,,,NOTES – use \n for newline,max length
action_drone,Дрон,Drone,,,,,,
actiondesc_drone,Более мощный роющий инструмент,More powerful digging,,,,,,
action_baab_is, ,IS,,,,,doesn't need to be translated,
actiondesc_baab_is,,,,,,,doesn't need to be translated,
action_baab_all,ВСЕ,ALL,,,,,doesn't need to be translated,
actiondesc_baab_all,,,,,,,doesn't need to be translated,
action_baab_empty,ВСЕ,ALL,,,,,doesn't need to be translated,
actiondesc_baab_empty,,,,,,,doesn't need to be translated,
action_baab_lava,ЛАВА,LAVA,,,,,doesn't need to be translated,
actiondesc_baab_lava,,,,,,,doesn't need to be translated,
action_baab_water,ВОДА,WATER,,,,,doesn't need to be translated,
actiondesc_baab_water,,,,,,,doesn't need to be translated,
action_baab_poop,КАКАШКИ,POOP,,,,,doesn't need to be translated,
actiondesc_baab_poop,,,,,,,doesn't need to be translated,
action_baab_love,ЛЮБОВЬ,LOVE,,,,,doesn't need to be translated,
actiondesc_baab_love,,,,,,,doesn't need to be translated,
action_firework,Фейерверк!,Fireworks!,,,,,,
actiondesc_firework,Огненный взрывающийся снаряд,"A fiery, explosive projectile",,,,,,
projectile_default,снаряд,projectile,,,,,,
perk_critical_hit,Повышение крит. удара,Critical Hit +,,,,,,
perkdesc_critical_hit,Повышенная вероятность критического удара,You get more critical hits,,,,,,
perk_breath_underwater,Без дыхания,Breathless,,,,,,
perkdesc_breath_underwater,Вы не утонете при погружении.,You won't drown when submerged.,,,,,,
perk_extra_money,Жадность,Greed,,,,,,
perkdesc_extra_money,Вы получаете в два раза больше золота из самородков.,You gain double the gold per nugget.,,,,,,
perk_extra_money_trick_kill,Хитроумие и жадность,Trick Greed,,,,,,
perkdesc_extra_money_trick_kill,"При смерти в результате несчастного случая даётся в четыре, а не в два раза больше золота.",4x instead of 2x gold is dropped when death is an accident.,,,,,,
perk_hover_boost,Сильная левитация,Strong Levitation,,,,,,
perkdesc_hover_boost,Можно летать на 100% дольше.,You can fly 100% longer.,,,,,,
perk_movement_faster,Ускоренное движение,Faster Movement,,,,,,
perkdesc_movement_faster,Скорость перемещения увеличена.,Your movement speed is increased.,,,,,,
perk_repelling_cape,Самоочищающаяся накидка,Repelling Cape,,,,,,
perkdesc_repelling_cape,Пятна отваливаются с большой скоростью (при движении).,Stains drop at a fast rate (when moving).,,,,,,
perk_exploding_corpses,Взрывающиеся трупы,Exploding Corpses,,,,,,
perkdesc_exploding_corpses,Враги при смерти взрываются.,Enemies explode upon death.,,,,,,
perk_saving_grace,Единственное спасение,Saving Grace,,,,,,
perkdesc_saving_grace,"Если вы умрёте с ОЗ больше 1, вместо смерти ОЗ будут сброшены до 1.","If you would die and have more than 1 HP, your HP is set to 1 instead.",,,,,,
perk_invisibility,Невидимость,Invisibility,,,,,,
perkdesc_invisibility,"Вы невидимка. Пятна, заклинания, удары и получение урона временно делают вас видимым.","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.",,,,,,
perk_global_gore,Больше крови,More Blood,,,,,,
perkdesc_global_gore,Кровь кровь кровь.,Blood blood blood.,,,,,,
perk_no_damage_flash,Без вспышек при уроне,No Damage Flash,,,,,,
perkdesc_no_damage_flash,"Боль неизбежна, но вспышки при уроне необязательны.","Pain is inevitable, but damage flash is optional.",,,,,,
perk_reverse_slowdown,Слизкая слизь,Slicky Slime,,,,,,
perkdesc_reverse_slowdown,"Слизь не замедляет вас, а позволяет двигаться быстрее.","Instead of slowing you down, slime allows you to move faster.",,,,,,
perk_extra_hp,Дополнительные ОЗ,Extra Health,,,,,,
perkdesc_extra_hp,Максимум здоровья повышен на 50%.,You gain 50% extra maximum health.,,,,,,
perk_glass_cannon,Стеклянная пушка,Glass Cannon,,,,,,
perkdesc_glass_cannon,"Заклинания наносят пятикратный урон и имеют больший радиус взрыва,\nно максимальный запас здоровья ограничен 50 единицами.","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.",,,,,,
perk_respawn,Дополнительная жизнь (одноразовый эффект),Extra Life (One-off),,,,,,
perkdesc_respawn,После смерти вы возрождаетесь со 100 ед. здоровья.,Upon death you respawn with 100 health.,,,,,,
perk_protection_fire,Огнестойкость,Fire Immunity,,,,,,
perkdesc_protection_fire,Вы не получаете урон от огня.,You take no damage from fire.,,,,,,
perk_protection_radioactivity,Радиационная стойкость,Toxic Sludge Immunity,,,,,,
perkdesc_protection_radioactivity,Вы не получаете урон от радиоактивных веществ.,You take no damage from toxic sludge.,,,,,,
perk_protection_explosion,Взрывоустойчивость,Explosion Immunity,,,,,,
perkdesc_protection_explosion,Вы не получаете прямого урона от взрывов.,You take no direct damage from explosions.,,,,,,
perk_protection_melee,Стойкость к рукопашной,Melee Immunity,,,,,,
perkdesc_protection_melee,Вы не получаете урон от атак врагов в ближнем бою.,You take no damage from close-range enemy attacks.,,,,,,
perk_protection_electricity,Электростойкость,Electricity Immunity,,,,,,
perkdesc_protection_electricity,Вы не получаете урон от ударов током.,You take no damage from electric shocks.,,,,,,
perk_teleportitis,Телепортит,Teleportitis,,,,,,
perkdesc_teleportitis,"Урон снижен на 20%. Получая урон, вы каждый раз телепортируетесь прочь.",You take 20% less damage. You teleport away every time you're hurt.,,,,,,
perk_stainless_armour,Незапятнанная броня,Stainless Armour,,,,,,
perkdesc_stainless_armour,"Пока на вас нет пятен, вы получаете на 50% меньше урона.",You take 50% less damage as long as you have no active stain status effect.,,,,,,
perk_edit_wands_everywhere,Изменение жезлов везде,Tinker With Wands Everywhere,,,,,,
perkdesc_edit_wands_everywhere,Божественное благословение позволяет вам изменять жезлы где угодно.,A divine blessing allows you to tinker with wands everywhere.,,,,,,
perk_projectile_homing,Самонаводящиеся выстрелы,Homing Shots,,,,,,
perkdesc_projectile_homing,Ваши заклинания слегка отклоняются в сторону врагов.,Your spells home towards enemies very slightly.,,,,,,
perk_freeze_field,Замораживающее поле,Freeze Field,,,,,,
perkdesc_freeze_field,Замораживает жидкости вокруг вас.,Liquids freeze in your presence.,,,,,,
perk_dissolve_powders,Растворение сыпучих веществ,Dissolve Powders,,,,,,
perkdesc_dissolve_powders,Песок и другие мягкие порошкообразные материалы в вашем присутствии быстро растворяются.,"Sand and other soft, powdery materials dissolve quickly in your presence.",,,,,,
perk_bleed_slime,Слизистая кровь,Slime Blood,,,,,,
perk_shield,Постоянный щит,Permanent Shield,,,,,,
perkdesc_shield,"У вас появляется маленький, зато постоянный щит.","You gain a small, permanent shield.",,,,,,
perk_revenge_explosion,Взрыв отмщения,Revenge Explosion,,,,,,
perkdesc_revenge_explosion,"При получении урона вы создаёте магический взрыв, который ранит окружающих врагов.","When you take damage, you release a magical explosion that hurts enemies around you.",,,,,,
perk_electricity,Электричество,Electricity,,,,,,
perkdesc_electricity,"Вы невосприимчивы к урону электричеством, но металл и жидкости вокруг постоянно электризуются. Смотрите в оба!","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!",,,,,,
perk_mystery_eggplant,Тайный баклажан,Mystery Eggplant,,,,,,
perkdesc_mystery_eggplant,Легко ломается.,It breaks easily.,,,,,,
perk_double_hp,Двойные ОЗ без восстановления,"Double Health, No Regeneration",,,,,,
perkdesc_double_hp,"Максимум ОЗ удваивается, но вы получаете на 20% больше урона от снарядов.","Your maximum HP is doubled, but you take 20% more damage from projectiles.",,,,,,
perk_berserk,Неистовство,Berserk,,,,,,
perkdesc_berserk,"Чем меньше у вас ОЗ, тем больше урона наносят ваши заклинания, вплоть до +300%.","The less HP you have, the more damage your spells deal, up to +300% extra damage.",,,,,,
perk_shuffle_wands,Случайные жезлы,Shuffle Wands,,,,,,
perkdesc_shuffle_wands,Все ваши жезлы заменяются случайными примерно такой же силы.,All your wands are replaced with random wands of approximately equal power.,,,,,,
perk_heavy_ammo,Крупные боеприпасы,Heavy Ammo,,,,,,
perkdesc_heavy_ammo,Вы получаете выбор из двух мощных заклинаний.,You gain a selection of 2 powerful spells.,,,,,,
perk_liquid_movement,Движение в жидкости,Liquid Movement,,,,,,
perkdesc_liquid_movement,Жидкости никак не влияют на ваше перемещение.,Liquids don't affect your movement at all.,,,,,,
perk_faster_swimming,Быстрое плавание,Faster Swimming,,,,,,
perkdesc_faster_swimming,Вы плаваете быстрее.,You swim faster.,,,,,,
perk_extra_shop_item,Дополнительный предмет в Святой горе,Extra Item In Holy Mountain,,,,,,
perkdesc_extra_shop_item,Дополнительный предмет в каждой ещё не посещённой Святой горе.,There will be an additional item in every Holy Mountain you haven't discovered yet.,,,,,,
perk_poison_burn,Горящий яд,Burning Poison,,,,,,
perkdesc_poison_burn,У снарядов появляется вероятность поджечь отравленных врагов.,Your projectiles have a chance to ignite poisoned enemies.,,,,,,
perk_low_gravity,Низкая гравитация,Low Gravity,,,,,,
perkdesc_low_gravity,"Вы двигаетесь плавнее, прыгаете и летите выше.",Your movement is floatier and you can jump and fly higher.,,,,,,
perk_destruction_enhancement,Усиленное разрушение,Destruction Enhancement,,,,,,
perkdesc_destruction_enchancement,Вы можете разрушать окружение эффективнее.,You can destroy the environment more effectively.,,,,,,
perk_damaging_aura,Повреждающая аура,Damaging Aura,,,,,,
perkdesc_damaging_aura,"Заклинания наносят урон врагам поблизости, даже если не попадают в них.",Your spells damage nearby enemies even if they don't hit them.,,,,,,
perk_thunder_kick,Громовой удар,Thunder Kick,,,,,,
perkdesc_thunder_kick,Ваши удары мгновенно убивают большинство врагов и сильнее толкают предметы.,"Your kicks instantly kill most foes, and push objects more.",,,,,,
perk_vision,Лучшее зрение,Better Vision,,,,,,
perkdesc_vision,Вы можете видеть дальше во тьме.,You can see more into the darkness.,,,,,,
perk_telepathic_vision,Телепатическое присутствие,Telepathic Presence,,,,,,
perkdesc_telepathic_vision,"Тьмы больше нет, но враги всегда знают, где вы.","Darkness is no more, but enemies always know where you are.",,,,,,
perk_no_more_knockback,Без отбрасываний,No More Knockback,,,,,,
perkdesc_no_more_knockback,Враги не могут отбросить вас.,Enemies can no longer knock you back.,,,,,,
perk_knockback_control,Контролируемое отбрасывание,Controllable Knockback,,,,,,
perkdesc_knockback_control,"Если вас отбросили, вы не теряете контроль.",You can steer while being knocked back.,,,,,,
perk_roll_again,Новая раздача,Roll Again,,,,,,
perkdesc_roll_again,Вы получаете новый набор бонусов на выбор.,You get a new set of perks to choose from.,,,,,,
perk_reveal_secrets,Раскрытые секреты,Reveal Secrets,,,,,,
perkdesc_reveal_secrets,"Сундуки, сердца и другие предметы сияют сквозь тьму.","Chests, hearts and other items shine through darkness.",,,,,,
perk_potion_drop,Выпадение бутылей,Potion Drop,,,,,,
perkdesc_potion_drop,Есть шанс получить случайную бутыль из убитых врагов.,Enemies have a chance of dropping a random potion upon death.,,,,,,
perk_mystery_egg,Тайное яйцо,Mystery Egg,,,,,,
perkdesc_mystery_egg,Из него может что-то вылупиться!,Something may hatch from it!,,,,,,
perk_gold_no_disappear_while_seen,Золотой глаз,Golden I,,,,,,
perkdesc_gold_no_disappear_while_seen,"Золото не исчезает, пока его можно видеть.",Gold doesn't disappear as long as it can be seen.,,,,,,
perk_mana_discount,Скидка на ману,Mana Discount,,,,,,
perkdesc_mana_discount,На заклинания тратится на 50% меньше маны.,All spells cost 50% less mana.,,,,,,
perk_juggernaut,Заклинания неумолимой силы,Juggernaut Spells,,,,,,
perkdesc_juggernaut,"Все снаряды наносят на 30% больше урона, но движутся на 30% медленнее.","Your projectiles deal 30% more damage, but are 30% slower.",,,,,,
perk_big_potions,Большие бутыли,Big Potions,,,,,,
perkdesc_big_potions,В найденных бутылях вдвое больше жидкости.,Potions you find contain double the liquid.,,,,,,
perk_extra_charges,Дополнительные заряды,Extra Charges,,,,,,
perkdesc_extra_charges,У заклинаний с ограничением на использование лимит удваивается.,Spells with limited uses can be used twice as many times.,,,,,,
perk_fast_projectiles,Быстрые снаряды,Fast Projectiles,,,,,,
perkdesc_fast_projectiles,Все снаряды летят с двойной скоростью.,All projectiles fly at double speed.,,,,,,
perk_deadly_environment,Смертельное окружение,Deadly Environment,,,,,,
perkdesc_deadly_environment,"Враги получают повышенный урон от материалов (огонь, яд и т. д.)","Creatures take increased damage from poison and other liquids, fire, and more.",,,,,,
perk_cursed_power,Проклятая сила,Cursed Power,,,,,,
perkdesc_cursed_power,"Урон жезлов больше, но их нельзя настраивать.",All your wands gain extra damage but become uncustomizable.,,,,,,
perk_randomize_spells,Случайные заклинания,Randomize Spells,,,,,,
perkdesc_randomize_spells,Все заклинания в инвентаре заменяются случайными.,All spells in your inventory are replaced with a random spell.,,,,,,
perk_personal_raincloud,Личное дождевое облако,Personal Raincloud,,,,,,
perkdesc_personal_raincloud,"Стоя в луже, вы собираете воду и выпускаете её, выстрелив в следующее за вами облако.","You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.",,,,,,
perk_helper_orb,Шар-помощник,Helper Orb,,,,,,
perkdesc_helper_orb,"Шар, который летает рядом и атакует врагов.",An orb flies near you and attacks your enemies.,,,,,,
perk_extra_wand_slot,Место для дополнительного жезла,Extra Wand Storage,,,,,,
perkdesc_extra_wand_slot,Можно нести дополнительный жезл.,You can carry one extra wand.,,,,,,
perk_extra_potion_slot,Место для дополнительного предмета,Extra Item Storage,,,,,,
perkdesc_extra_potion_slot,Можно нести дополнительный предмет.,You can carry one extra item.,,,,,,
perk_extra_action_storage,Место для дополнительного заклинания,Extra Spell Storage,,,,,,
perkdesc_extra_action_storage,Вы получаете больше места для заклинаний.,You gain more room for spells,,,,,,
perk_persuasion,Убеждение,Persuasion,,,,,,
perkdesc_persuasion,Враги с низкими ОЗ могут начать сражаться за вас.,Enemies with low health may start fighting for you.,,,,,,
perk_permanent_flying,Постоянный полёт,Floor Is Lava,,,,,,
perkdesc_permanent_flying,"Вы можете постоянно летать, но получаете урон, стоя на земле.","You can fly forever, but standing on the ground deals you damage over time.",,,,,,
perk_melt,Тающие трупы,Melting Corpses,,,,,,
perkdesc_melt,Трупы врагов превращаются в слизь.,Your enemies' corpses melt into slime.,,,,,,
perk_double_cast,Двойное колдунство,Double Cast,,,,,,
perkdesc_double_cast,Все жезлы при использовании накладывают дополнительное заклинание.,Your wands cast one extra spell when used.,,,,,,
perk_ability_actions_materialized,Бомбы материализовались,Bombs Materialized,,,,,,
perkdesc_ability_actions_materialized,"Бомбоподобные заклинания можно помещать в раздел ПРЕДМЕТЫ инвентаря, а затем бросать, как предметы.",Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.,,,,,,
mat_air,воздух,air,,,,,,
mat_fire,огонь,fire,,,,,,
mat_spark,искра,spark,,,,,,
mat_spark_green,искра,spark,,,,,,
mat_spark_blue,искра,spark,,,,,,
mat_spark_red,искра,spark,,,,,,
mat_spark_white,искра,spark,,,,,,
mat_spark_yellow,искра,spark,,,,,,
mat_spark_purple,искра,spark,,,,,,
mat_spark_player,искра,spark,,,,,,
mat_spark_teal,искра,spark,,,,,,
mat_spark_electric,электрическая искра,electric spark,,,,,,
mat_flame,огонь,fire,,,,,,
mat_sand_static,земля,ground,,,,,,
mat_sand_static_rainforest,плодородная земля,lush ground,,,,,,
mat_bone_static,костяная стена,bone wall,,,,,,
mat_rust_static,ржавый металл,rusted metal,,,,,,
mat_sand_static_bright,гранитная земля,granite ground,,,,,,
mat_sand_static_red,ржавая земля,rusty ground,,,,,,
mat_nest_static,гнездо,nest,,,,,,
mat_bluefungi_static,синий гриб,blue fungus,,,,,,
mat_cheese_static,сыр,cheese,,,,,,
mat_rock_static,камень,rock,,,,,,
mat_rock_static_intro,камень,rock,,,,,,
mat_water_static,Вода,Water,,,,,,
mat_endslime_static,адская слизь,hell slime,,,,,,
mat_slime_static,слизь,slime,,,,,,
mat_rock_hard,плотный камень,dense rock,,,,,,
mat_rock_static_noedge,камень,rock,,,,,,
mat_rock_hard_border,очень плотный камень,extremely dense rock,,,,,,
mat_rock_magic_gate,волшебные врата,magic gate,,,,,,
mat_rock_magic_bottom,волшебная стена,magic wall,,,,,,
mat_rock_eroding,разрушающийся камень,eroding rock,,,,,,
mat_rock_vault,камень убежища,vault rock,,,,,,
mat_coal_static,угольный пласт,coal vein,,,,,,
mat_rock_static_grey,серый камень,grey rock,,,,,,
mat_rock_static_radioactive,радиоактивный камень,toxic rock,,,,,,
mat_rock_static_poison,ядовитый камень,poisonous rock,,,,,,
mat_skullrock,адский камень,hell rock,,,,,,
mat_rock_static_wet,влажный камень,damp rock,,,,,,
mat_lavarock_static,вулканический камень,volcanic rock,,,,,,
mat_lava,лава,lava,,,,,,
mat_meteorite_static,метеорит,meteorite,,,,,,
mat_templerock_static,кирпич,brickwork,,,,,,
mat_templebrick_static,кирпич,brickwork,,,,,,
mat_templebrick_noedge_static,кирпич,brickwork,,,,,,
mat_templebrick_thick_static,кирпич,brickwork,,,,,,
mat_templebrickdark_static,кирпич,brickwork,,,,,,
mat_templeslab_static,кирпич,brickwork,,,,,,
mat_templeslab_crumbling_static,кирпич,brickwork,,,,,,
mat_glowstone,светящийся камень,glowing stone,,,,,,
mat_glowstone_altar,светящийся камень,glowing stone,,,,,,
mat_glowstone_potion,светящийся камень,glowing stone,,,,,,
mat_templebrick_red,кирпич,brickwork,,,,,,
mat_templebrick_moss_static,мшистый кирпич,mossy brickwork,,,,,,
mat_the_end,адский камень,hell rock,,,,,,
mat_steel_static,сталь,steel,,,,,,
mat_steelmoss_static,мшистая сталь,mossy steel,,,,,,
mat_steelmoss_slanted,мшистая сталь,mossy steel,,,,,,
mat_steelsmoke_static,дымящаяся сталь,smoking steel,,,,,,
mat_steelpipe_static,металлическая труба,metal pipe,,,,,,
mat_steel_static_strong,плотная сталь,dense steel,,,,,,
mat_steel_static_unmeltable,закалённая сталь,hardened steel,,,,,,
mat_rock_static_glow,светящаяся материя,glowing matter,,,,,,
mat_snow_static,плотный снег,packed snow,,,,,,
mat_ice_static,лёд,ice,,,,,,
mat_rock_static_intro_breakable,камень,rock,,,,,,
mat_ice_blood_static,замерзшая кровь,frozen blood,,,,,,
mat_ice_acid_static,замерзшая кислота,frozen acid,,,,,,
mat_ice_cold_static,лёд,ice,,,,,,
mat_ice_radioactive_static,радиоактивный лёд,toxic ice,,,,,,
mat_ice_meteor_static,лёд,ice,,,,,,
mat_tubematerial,неоновая трубка,neon tube,,,,,,
mat_glass_static,стекло,glass,,,,,,
mat_waterrock,камень,rock,,,,,,
mat_ice_glass,лёд,ice,,,,,,
mat_tube_physics,неоновая трубка,neon tube,,,,,,
mat_ice_acid_glass,замёрзшая кислота,frozen acid,,,,,,
mat_ice_cold_glass,лёд,ice,,,,,,
mat_ice_radioactive_glass,радиоактивный лёд,toxic ice,,,,,,
mat_ice_glass_b2,лёд,ice,,,,,,
mat_glass_brittle,хрупкое стекло,brittle glass,,,,,,
mat_snowrock_static,замёрзший камень,frozen rock,,,,,,
mat_concrete_static,бетон,concrete,,,,,,
mat_wood_static,дерево,wood,,,,,,
mat_wood_static_wet,влажное дерево,damp wood,,,,,,
mat_creepy_liquid_emitter,кирпичная стена,brick wall,,,,,,
mat_gold_static,золотая жила,gold vein,,,,,,
mat_gold_static_dark,яркая золотая жила,vibrant gold vein,,,,,,
mat_wood_static_vertical,дерево,wood,,,,,,
mat_wood_static_gas,дерево под давлением,pressurized wood,,,,,,
mat_corruption_static,повреждённый камень,corrupted rock,,,,,,
mat_smoke,дым,smoke,,,,,,
mat_smoke_explosion,дым,smoke,,,,,,
mat_steam,пар,steam,,,,,,
mat_acid_gas,горючий газ,flammable gas,,,,,,
mat_acid_gas_static,горючий газ,flammable gas,,,,,,
mat_smoke_static,дым,smoke,,,,,,
mat_poison_gas,ядовитый газ,poison gas,,,,,,
mat_fungal_gas,грибной газ,fungal gas,,,,,,
mat_blood_cold_vapour,замораживающее испарение,freezing vapour,,,,,,
mat_sand_herb_vapour,вонючее испарение,funky vapour,,,,,,
mat_radioactive_gas,радиоактивный газ,toxic gas,,,,,,
mat_radioactive_gas_static,радиоактивный газ,toxic gas,,,,,,
mat_water,Вода,Water,,,,,,
mat_water_fading,Вода,Water,,,,,,
mat_water_salt,солёная вода,brine,,,,,,
mat_water_temp,Вода,Water,,,,,,
mat_water_ice,холодная вода,chilly water,,,,,,
mat_water_swamp,болото,swamp,,,,,,
mat_oil,нефть,oil,,,,,,
mat_liquid_fire_weak,жидкий огонь,liquid fire,,,,,,
mat_alcohol,виски,whiskey,,,,,,
mat_midas_precursor,алхимический прекурсор,alchemic precursor,,,,,,
mat_midas,глоток Мидаса,draught of midas,,,,,,
mat_magic_liquid,открытие ворот,gate-opener,,,,,,
mat_magic_liquid_teleportation,телепортиум,teleportatium,,,,,,
mat_magic_liquid_hp_regeneration,лечиниум,healthium,,,,,,
mat_magic_liquid_hp_regeneration_unstable,живой концентрат,lively concoction,,,,,,
mat_magic_liquid_polymorph,полиморфин,polymorphine,,,,,,
mat_magic_liquid_random_polymorph,хаотический полиморфин,chaotic polymorphine,,,,,,
mat_magic_liquid_berserk,неиствовиум,berserkium,,,,,,
mat_magic_liquid_charm,феромон,pheromone,,,,,,
mat_magic_liquid_invisibility,невидиум,invisiblium,,,,,,
mat_cloud,облако,cloud,,,,,,
mat_cloud_radioactive,радиоактивный туман,toxic mist,,,,,,
mat_cloud_alcohol,алкогольный туман,alcohol mist,,,,,,
mat_cloud_blood,кровавый туман,blood mist,,,,,,
mat_cloud_slime,слизистый туман,slime mist,,,,,,
mat_swamp,болото,swamp,,,,,,
mat_mud,ил,mud,,,,,,
mat_blood_fading_slow,грибная кровь,fungal blood,,,,,,
mat_blood_worm,червивая кровь,worm blood,,,,,,
mat_blood_cold,замораживающая жидкость,freezing liquid,,,,,,
mat_radioactive_liquid,радиоактивное вещество,toxic sludge,,,,,,
mat_radioactive_liquid_fading,радиоактивное вещество,toxic sludge,,,,,,
mat_plasma_fading,волшебная жидкость,magical liquid,,,,,,
mat_plasma_fading_green,волшебная жидкость,magical liquid,,,,,,
mat_plasma_fading_pink,волшебная жидкость,magical liquid,,,,,,
mat_gold_molten,расплавленное золото,molten gold,,,,,,
mat_steel_static_molten,расплавленная сталь,molten steel,,,,,,
mat_steelmoss_slanted_molten,расплавленная сталь,molten steel,,,,,,
mat_steelmoss_static_molten,расплавленная сталь,molten steel,,,,,,
mat_steelsmoke_static_molten,расплавленная сталь,molten steel,,,,,,
mat_metal_molten,расплавленный металл,molten metal,,,,,,
mat_metal_rust_molten,расплавленный металл,molten metal,,,,,,
mat_metal_nohit_molten,расплавленный металл,molten metal,,,,,,
mat_aluminium_molten,расплавленный алюминий,molten aluminium,,,,,,
mat_aluminium_robot_molten,расплавленный алюминий,molten aluminium,,,,,,
mat_metal_prop_molten,расплавленный металл,molten metal,,,,,,
mat_steel_rust_molten,расплавленная сталь,molten steel,,,,,,
mat_aluminium_oxide_molten,расплавленный алюминий,molten aluminium,,,,,,
mat_wax_molten,расплавленный воск,molten wax,,,,,,
mat_silver_molten,расплавленное серебро,molten silver,,,,,,
mat_copper_molten,расплавленная медь,molten copper,,,,,,
mat_brass_molten,расплавленная латунь,molten brass,,,,,,
mat_glass_molten,расплавленное стекло,molten glass,,,,,,
mat_glass_broken_molten,расплавленное стекло,molten glass,,,,,,
mat_steel_molten,расплавленный металл,molten metal,,,,,,
mat_creepy_liquid,жуткая жидкость,creepy liquid,,,,,,
mat_cement,цемент,cement,,,,,,
mat_sand,песок,sand,,,,,,
mat_sand_blue,синий песок,blue sand,,,,,,
mat_lavasand,вулканический песок,volcanic sand,,,,,,
mat_bone,костная пыль,bone dust,,,,,,
mat_soil,почва,soil,,,,,,
mat_soil_dead,бесплодная почва,barren soil,,,,,,
mat_sandstone,песчаник,sandstone,,,,,,
mat_fungisoil,грибная почва,fungal soil,,,,,,
mat_honey,мёд,honey,,,,,,
mat_pea_soup,гороховый суп,pea soup,,,,,,
mat_endslime,адская слизь,hell slime,,,,,,
mat_endslime_blood,адская слизь,hell slime,,,,,,
mat_explosion_dirt,грязь,dirt,,,,,,
mat_vine,лоза,vine,,,,,,
mat_root,лоза,vine,,,,,,
mat_snow,снег,snow,,,,,,
mat_rotten_meat,гнилое мясо,rotten meat,,,,,,
mat_meat_slime_sand,слизистое мясо,slimy meat,,,,,,
mat_meat_slime_green,зелёное слизистое мясо,green slimy meat,,,,,,
mat_meat_slime_orange,слизистое мясо,slimy meat,,,,,,
mat_rotten_meat_radioactive,радиоактивное мясо,toxic meat,,,,,,
mat_meat_worm,червивое мясо,worm meat,,,,,,
mat_ice,лёд,ice,,,,,,
mat_wax,воск,wax,,,,,,
mat_gold,золото,gold,,,,,,
mat_gold_radioactive,радиоактивное золото,toxic gold,,,,,,
mat_copper,медь,copper,,,,,,
mat_silver,серебро,silver,,,,,,
mat_coal,уголь,coal,,,,,,
mat_brass,латунь,brass,,,,,,
mat_burning_powder,горящий порошок,burning powder,,,,,,
mat_sodium_unstable,влажный натрий,wet sodium,,,,,,
mat_gunpowder,порох,gunpowder,,,,,,
mat_gunpowder_tnt,порох,gunpowder,,,,,,
mat_gunpowder_unstable,порох,gunpowder,,,,,,
mat_gunpowder_unstable_boss_limbs,слизистое мясо,slimy meat,,,,,,
mat_plastic_red,пластик,plastic,,,,,,
mat_plastic_red_molten,расплавленный пластик,molten plastic,,,,,,
mat_plastic_molten,расплавленный пластик,molten plastic,,,,,,
mat_plastic_prop_molten,расплавленный пластик,molten plastic,,,,,,
mat_grass,трава,grass,,,,,,
mat_moss,мох,moss,,,,,,
mat_moss_rust,ржавый мох,rusty moss,,,,,,
mat_fungi_green,гриб,fungus,,,,,,
mat_spore,семя,seed,,,,,,
mat_plant_material_red,семя,seed,,,,,,
mat_ceiling_plant_material,семя,seed,,,,,,
mat_mushroom_seed,грибковая спора,fungal spore,,,,,,
mat_plant_seed,семя растения,plant seed,,,,,,
mat_mushroom,грибковая спора,fungal spore,,,,,,
mat_mushroom_giant_red,грибковая спора,fungal spore,,,,,,
mat_mushroom_giant_blue,грибковая спора,fungal spore,,,,,,
mat_bush_seed,вечнозелёное семя,evergreen seed,,,,,,
mat_acid,кислота,acid,,,,,,
mat_wood_player_b2,дерево,wood,,,,,,
mat_wood_player_b2_vertical,дерево,wood,,,,,,
mat_wood,дерево,wood,,,,,,
mat_fuse,бомба,bomb,,,,,,
mat_fuse_tnt,тротил,tnt,,,,,,
mat_fuse_holy,святое вещество,holy matter,,,,,,
mat_templebrick_box2d,кирпич,brickwork,,,,,,
mat_wood_trailer,дерево,wood,,,,,,
mat_wood_wall,дерево,wood,,,,,,
mat_cactus,трава,grass,,,,,,
mat_grass_loose,грибное вещество,fungal matter,,,,,,
mat_wood_prop,дерево,wood,,,,,,
mat_wood_prop_durable,прочное дерево,tough wood,,,,,,
mat_nest_box2d,гнездо,nest,,,,,,
mat_cocoon_box2d,кокон,cocoon,,,,,,
mat_wood_loose,дерево,wood,,,,,,
mat_rock_loose,камень,rock,,,,,,
mat_ice_ceiling,лёд,ice,,,,,,
mat_brick,кирпичная стена,brick wall,,,,,,
mat_concrete_collapsed,обрушенный бетон,collapsed concrete,,,,,,
mat_tnt,тротил,tnt,,,,,,
mat_trailer_text,текст,text,,,,,,
mat_meteorite,метеорит,meteorite,,,,,,
mat_meteorite_crackable,метеорит,meteorite,,,,,,
mat_meteorite_green,зелёный метеорит,green meteorite,,,,,,
mat_steel,сталь,steel,,,,,,
mat_steel_rust,ржавая сталь,rusted steel,,,,,,
mat_metal_rust_rust,ржавый металл,rusted metal,,,,,,
mat_metal_rust_barrel_rust,ржавый металл,rusted metal,,,,,,
mat_plastic,пластик,plastic,,,,,,
mat_aluminium,алюминий,aluminium,,,,,,
mat_metal_prop,металл,metal,,,,,,
mat_metal,металл,metal,,,,,,
mat_rock_box2d_hard,камень,rock,,,,,,
mat_rock_box2d_nohit,камень,rock,,,,,,
